Table name,State,District,Area Name,Last residence,Last residence,Place of enumeration,Total migrants,Total migrants (M),Total migrants (F),Less than 1 year,Less than 1 year(M),Less than 1 year(F),1-4 years,1-4 years(M),1-4 years(F),5-9 years,5-9 years(M),5-9 years(F),10-19 years,10-19 years(M),10-19 years(F),20+ years,20+ years(M),20+ years(F),Duration not stated,Duration not stated(M),Duration not stated(F)
,,,,,Total/Rural/Urban/Country,Total/Rural/Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
D0302,7,0,State - NCT OF DELHI,Nagaland,Total,Rural,13,10,3,4,3,1,4,3,1,1,1,0,1,1,0,3,2,1,0,0,0
D0302,7,0,State - NCT OF DELHI,Nagaland,Total,Urban,"1,908","1,017",891,199,127,72,670,343,327,382,183,199,343,183,160,218,128,90,96,53,43
D0302,7,0,State - NCT OF DELHI,Nagaland,Rural,Total,441,263,178,44,27,17,174,101,73,75,43,32,87,50,37,42,28,14,19,14,5
D0302,7,0,State - NCT OF DELHI,Nagaland,Rural,Rural,10,7,3,4,3,1,3,2,1,1,1,0,0,0,0,2,1,1,0,0,0
D0302,7,0,State - NCT OF DELHI,Nagaland,Rural,Urban,431,256,175,40,24,16,171,99,72,74,42,32,87,50,37,40,27,13,19,14,5
D0302,7,0,State - NCT OF DELHI,Nagaland,Urban,Total,"1,432",742,690,159,103,56,486,240,246,302,139,163,252,131,121,171,97,74,62,32,30
D0302,7,0,State - NCT OF DELHI,Nagaland,Urban,Rural,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
D0302,7,0,State - NCT OF DELHI,Nagaland,Urban,Urban,"1,430",740,690,159,103,56,486,240,246,302,139,163,251,130,121,170,96,74,62,32,30
D0302,7,0,State - NCT OF DELHI,Manipur,Total,Total,"6,164","3,110","3,054",500,270,230,"2,349","1,157","1,192","1,366",659,707,"1,179",610,569,492,277,215,278,137,141
D0302,7,0,State - NCT OF DELHI,Manipur,Total,Rural,17,11,6,2,2,0,9,6,3,0,0,0,3,1,2,2,2,0,1,0,1
D0302,7,0,State - NCT OF DELHI,Manipur,Total,Urban,"6,147","3,099","3,048",498,268,230,"2,340","1,151","1,189","1,366",659,707,"1,176",609,567,490,275,215,277,137,140
D0302,7,0,State - NCT OF DELHI,Manipur,Rural,Total,"2,324","1,186","1,138",216,101,115,"1,016",520,496,497,255,242,378,194,184,137,76,61,80,40,40
D0302,7,0,State - NCT OF DELHI,Manipur,Rural,Rural,10,7,3,2,2,0,6,3,3,0,0,0,1,1,0,1,1,0,0,0,0
D0302,7,0,State - NCT OF DELHI,Manipur,Rural,Urban,"2,314","1,179","1,135",214,99,115,"1,010",517,493,497,255,242,377,193,184,136,75,61,80,40,40
D0302,7,0,State - NCT OF DELHI,Manipur,Urban,Total,"3,699","1,852","1,847",278,166,112,"1,309",626,683,855,397,458,788,411,377,350,198,152,119,54,65
D0302,7,0,State - NCT OF DELHI,Manipur,Urban,Rural,7,4,3,0,0,0,3,3,0,0,0,0,2,0,2,1,1,0,1,0,1
